name,status,returncode,elapsed_s,timed_elapsed,max_rss_kib,max_rss_gib,exit_status_from_time,log
packaged_reproduce_all,ok,0,22.1401063837111,0:22.13,187292,0.17861557006835938,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/packaged_reproduce_all.log
demo_pipeline_reproduce_all,ok,0,22.169255236163735,0:22.16,188460,0.17972946166992188,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/demo_pipeline_reproduce_all.log
pytest,ok,0,7.8093382231891155,0:07.80,216320,0.206298828125,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/pytest.log
llama_n32_composite_cold,ok,0,1221.828774832189,20:21.82,2765920,2.637786865234375,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/llama_n32_composite_cold.log
compare_llama_n32_composite_vs_packaged,ok,0,0.39771076664328575,0:00.39,69888,0.066650390625,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/compare_llama_n32_composite_vs_packaged.log
llama_n32_bandwidth_cold,ok,0,1919.4777790233493,31:59.47,2099780,2.0025062561035156,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/llama_n32_bandwidth_cold.log
compare_llama_n32_bandwidth_vs_packaged,ok,0,0.39152948558330536,0:00.38,69888,0.066650390625,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/compare_llama_n32_bandwidth_vs_packaged.log
fig03_ch1_composite_cold,ok,0,23.7454828415066,0:23.74,513288,0.48950958251953125,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/fig03_ch1_composite_cold.log
compare_fig03_ch1_vs_packaged,ok,0,0.3930587936192751,0:00.39,69888,0.066650390625,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/compare_fig03_ch1_vs_packaged.log
fig03_auto_composite_cold,ok,0,24.109501576051116,0:24.10,576188,0.5494956970214844,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/fig03_auto_composite_cold.log
