nodeId,channelId,prevRank,myRank,nextRank,pid,commId
005067,31,0,0,0,109937,0xd080233d07610a28
005072,0,58,59,63,221204,0x68397d93bb6f627d
005072,1,55,59,58,221204,0x68397d93bb6f627d
005072,2,56,59,57,221204,0x68397d93bb6f627d
005072,3,56,59,58,221204,0x68397d93bb6f627d
005072,4,58,59,63,221204,0x68397d93bb6f627d
005072,5,55,59,58,221204,0x68397d93bb6f627d
005072,6,56,59,57,221204,0x68397d93bb6f627d
005072,7,56,59,58,221204,0x68397d93bb6f627d
005072,0,57,58,59,221203,0x68397d93bb6f627d
005072,1,59,58,57,221203,0x68397d93bb6f627d
005072,2,54,58,56,221203,0x68397d93bb6f627d
005072,3,59,58,62,221203,0x68397d93bb6f627d
005072,4,57,58,59,221203,0x68397d93bb6f627d
005072,5,59,58,57,221203,0x68397d93bb6f627d
005072,6,54,58,56,221203,0x68397d93bb6f627d
005072,7,59,58,62,221203,0x68397d93bb6f627d
005072,0,56,57,58,221202,0x68397d93bb6f627d
005072,0,52,56,57,221201,0x68397d93bb6f627d
005072,1,58,57,56,221202,0x68397d93bb6f627d
005072,2,59,57,61,221202,0x68397d93bb6f627d
005072,3,53,57,56,221202,0x68397d93bb6f627d
005072,1,57,56,60,221201,0x68397d93bb6f627d
005072,4,56,57,58,221202,0x68397d93bb6f627d
005072,2,58,56,59,221201,0x68397d93bb6f627d
005072,5,58,57,56,221202,0x68397d93bb6f627d
005072,3,57,56,59,221201,0x68397d93bb6f627d
005072,6,59,57,61,221202,0x68397d93bb6f627d
005072,4,52,56,57,221201,0x68397d93bb6f627d
005072,7,53,57,56,221202,0x68397d93bb6f627d
005072,5,57,56,60,221201,0x68397d93bb6f627d
005072,6,58,56,59,221201,0x68397d93bb6f627d
005072,7,57,56,59,221201,0x68397d93bb6f627d
005072,0,0,0,0,221201,0x4e4af01ced4576d9
005072,1,0,0,0,221201,0x4e4af01ced4576d9
005072,2,0,0,0,221201,0x4e4af01ced4576d9
005072,3,0,0,0,221201,0x4e4af01ced4576d9
005072,4,0,0,0,221201,0x4e4af01ced4576d9
005072,5,0,0,0,221201,0x4e4af01ced4576d9
005072,6,0,0,0,221201,0x4e4af01ced4576d9
005072,7,0,0,0,221201,0x4e4af01ced4576d9
005072,8,0,0,0,221201,0x4e4af01ced4576d9
005072,9,0,0,0,221201,0x4e4af01ced4576d9
005072,10,0,0,0,221201,0x4e4af01ced4576d9
005072,11,0,0,0,221201,0x4e4af01ced4576d9
005072,12,0,0,0,221201,0x4e4af01ced4576d9
005072,13,0,0,0,221201,0x4e4af01ced4576d9
005072,14,0,0,0,221201,0x4e4af01ced4576d9
005072,15,0,0,0,221201,0x4e4af01ced4576d9
005072,16,0,0,0,221201,0x4e4af01ced4576d9
005072,17,0,0,0,221201,0x4e4af01ced4576d9
005072,18,0,0,0,221201,0x4e4af01ced4576d9
005072,19,0,0,0,221201,0x4e4af01ced4576d9
005072,20,0,0,0,221201,0x4e4af01ced4576d9
005072,21,0,0,0,221201,0x4e4af01ced4576d9
005072,22,0,0,0,221201,0x4e4af01ced4576d9
005072,23,0,0,0,221201,0x4e4af01ced4576d9
005072,24,0,0,0,221201,0x4e4af01ced4576d9
005072,25,0,0,0,221201,0x4e4af01ced4576d9
005072,26,0,0,0,221201,0x4e4af01ced4576d9
005072,27,0,0,0,221201,0x4e4af01ced4576d9
005072,28,0,0,0,221201,0x4e4af01ced4576d9
005072,29,0,0,0,221201,0x4e4af01ced4576d9
005072,30,0,0,0,221201,0x4e4af01ced4576d9
005072,31,0,0,0,221201,0x4e4af01ced4576d9
005072,0,0,0,0,221203,0x4a22ece3dbc84d81
005072,1,0,0,0,221203,0x4a22ece3dbc84d81
005072,2,0,0,0,221203,0x4a22ece3dbc84d81
005072,3,0,0,0,221203,0x4a22ece3dbc84d81
005072,4,0,0,0,221203,0x4a22ece3dbc84d81
005072,5,0,0,0,221203,0x4a22ece3dbc84d81
005072,6,0,0,0,221203,0x4a22ece3dbc84d81
005072,7,0,0,0,221203,0x4a22ece3dbc84d81
005072,8,0,0,0,221203,0x4a22ece3dbc84d81
005072,9,0,0,0,221203,0x4a22ece3dbc84d81
005072,10,0,0,0,221203,0x4a22ece3dbc84d81
005072,11,0,0,0,221203,0x4a22ece3dbc84d81
005072,12,0,0,0,221203,0x4a22ece3dbc84d81
005072,13,0,0,0,221203,0x4a22ece3dbc84d81
005072,14,0,0,0,221203,0x4a22ece3dbc84d81
005072,15,0,0,0,221203,0x4a22ece3dbc84d81
005072,16,0,0,0,221203,0x4a22ece3dbc84d81
005072,17,0,0,0,221203,0x4a22ece3dbc84d81
005072,18,0,0,0,221203,0x4a22ece3dbc84d81
005072,19,0,0,0,221203,0x4a22ece3dbc84d81
005072,20,0,0,0,221203,0x4a22ece3dbc84d81
005072,21,0,0,0,221203,0x4a22ece3dbc84d81
005072,22,0,0,0,221203,0x4a22ece3dbc84d81
005072,23,0,0,0,221203,0x4a22ece3dbc84d81
005072,24,0,0,0,221203,0x4a22ece3dbc84d81
005072,25,0,0,0,221203,0x4a22ece3dbc84d81
005072,26,0,0,0,221203,0x4a22ece3dbc84d81
005072,27,0,0,0,221203,0x4a22ece3dbc84d81
005072,28,0,0,0,221203,0x4a22ece3dbc84d81
005072,29,0,0,0,221203,0x4a22ece3dbc84d81
005072,30,0,0,0,221203,0x4a22ece3dbc84d81
005072,31,0,0,0,221203,0x4a22ece3dbc84d81
005072,0,0,0,0,221202,0xdbe0aa4a71244bfc
005072,1,0,0,0,221202,0xdbe0aa4a71244bfc
005072,2,0,0,0,221202,0xdbe0aa4a71244bfc
005072,3,0,0,0,221202,0xdbe0aa4a71244bfc
005072,4,0,0,0,221202,0xdbe0aa4a71244bfc
005072,5,0,0,0,221202,0xdbe0aa4a71244bfc
005072,6,0,0,0,221202,0xdbe0aa4a71244bfc
005072,7,0,0,0,221202,0xdbe0aa4a71244bfc
005072,8,0,0,0,221202,0xdbe0aa4a71244bfc
005072,9,0,0,0,221202,0xdbe0aa4a71244bfc
005072,10,0,0,0,221202,0xdbe0aa4a71244bfc
005072,11,0,0,0,221202,0xdbe0aa4a71244bfc
005072,12,0,0,0,221202,0xdbe0aa4a71244bfc
005072,13,0,0,0,221202,0xdbe0aa4a71244bfc
005072,14,0,0,0,221202,0xdbe0aa4a71244bfc
005072,15,0,0,0,221202,0xdbe0aa4a71244bfc
005072,16,0,0,0,221202,0xdbe0aa4a71244bfc
005072,17,0,0,0,221202,0xdbe0aa4a71244bfc
005072,18,0,0,0,221202,0xdbe0aa4a71244bfc
005072,19,0,0,0,221202,0xdbe0aa4a71244bfc
005072,20,0,0,0,221202,0xdbe0aa4a71244bfc
005072,21,0,0,0,221202,0xdbe0aa4a71244bfc
005072,22,0,0,0,221202,0xdbe0aa4a71244bfc
005072,23,0,0,0,221202,0xdbe0aa4a71244bfc
005072,24,0,0,0,221202,0xdbe0aa4a71244bfc
005072,25,0,0,0,221202,0xdbe0aa4a71244bfc
005072,26,0,0,0,221202,0xdbe0aa4a71244bfc
005072,27,0,0,0,221202,0xdbe0aa4a71244bfc
005072,28,0,0,0,221202,0xdbe0aa4a71244bfc
005072,29,0,0,0,221202,0xdbe0aa4a71244bfc
005072,30,0,0,0,221202,0xdbe0aa4a71244bfc
005072,31,0,0,0,221202,0xdbe0aa4a71244bfc
005072,0,0,0,0,221204,0x72dc15d520ccacd4
005072,1,0,0,0,221204,0x72dc15d520ccacd4
005072,2,0,0,0,221204,0x72dc15d520ccacd4
005072,3,0,0,0,221204,0x72dc15d520ccacd4
005072,4,0,0,0,221204,0x72dc15d520ccacd4
005072,5,0,0,0,221204,0x72dc15d520ccacd4
005072,6,0,0,0,221204,0x72dc15d520ccacd4
005072,7,0,0,0,221204,0x72dc15d520ccacd4
005072,8,0,0,0,221204,0x72dc15d520ccacd4
005072,9,0,0,0,221204,0x72dc15d520ccacd4
005072,10,0,0,0,221204,0x72dc15d520ccacd4
005072,11,0,0,0,221204,0x72dc15d520ccacd4
005072,12,0,0,0,221204,0x72dc15d520ccacd4
005072,13,0,0,0,221204,0x72dc15d520ccacd4
005072,14,0,0,0,221204,0x72dc15d520ccacd4
005072,15,0,0,0,221204,0x72dc15d520ccacd4
005072,16,0,0,0,221204,0x72dc15d520ccacd4
005072,17,0,0,0,221204,0x72dc15d520ccacd4
005072,18,0,0,0,221204,0x72dc15d520ccacd4
005072,19,0,0,0,221204,0x72dc15d520ccacd4
005072,20,0,0,0,221204,0x72dc15d520ccacd4
005072,21,0,0,0,221204,0x72dc15d520ccacd4
005072,22,0,0,0,221204,0x72dc15d520ccacd4
005072,23,0,0,0,221204,0x72dc15d520ccacd4
005072,24,0,0,0,221204,0x72dc15d520ccacd4
005072,25,0,0,0,221204,0x72dc15d520ccacd4
005072,26,0,0,0,221204,0x72dc15d520ccacd4
005072,27,0,0,0,221204,0x72dc15d520ccacd4
005072,28,0,0,0,221204,0x72dc15d520ccacd4
005072,29,0,0,0,221204,0x72dc15d520ccacd4
005072,30,0,0,0,221204,0x72dc15d520ccacd4
005072,31,0,0,0,221204,0x72dc15d520ccacd4
005072,0,58,59,63,221204,0xe7d12636594460c0
005072,1,55,59,58,221204,0xe7d12636594460c0
005072,2,56,59,57,221204,0xe7d12636594460c0
005072,3,56,59,58,221204,0xe7d12636594460c0
005072,4,58,59,63,221204,0xe7d12636594460c0
005072,5,55,59,58,221204,0xe7d12636594460c0
005072,6,56,59,57,221204,0xe7d12636594460c0
005072,7,56,59,58,221204,0xe7d12636594460c0
005072,0,57,58,59,221203,0xe7d12636594460c0
005072,0,56,57,58,221202,0xe7d12636594460c0
005072,1,59,58,57,221203,0xe7d12636594460c0
005072,2,54,58,56,221203,0xe7d12636594460c0
005072,3,59,58,62,221203,0xe7d12636594460c0
005072,4,57,58,59,221203,0xe7d12636594460c0
005072,5,59,58,57,221203,0xe7d12636594460c0
005072,1,58,57,56,221202,0xe7d12636594460c0
