nodeId,commHash,commId,rank,nRanks,pid
005062,0x2d781de58a6079e7,0xe7d12636594460c0,16,128,211092
005062,0x2d781de58a6079e7,0xe7d12636594460c0,17,128,211093
005062,0x46bb721dcd6b9c7,0x423e2f3fa842be9c,0,1,211094
005062,0x710855418f8b1adc,0xe394e13162bd417a,0,1,211095
005062,0xe51a8cac52fe330d,0xb09a48678d3bf990,0,1,211093
005062,0xb5e99f1df2b67877,0x6ea34b18a3e6bb00,0,1,211092
005096,0x5536c7d9bd44d567,0x68397d93bb6f627d,114,128,171212
005096,0x5536c7d9bd44d567,0x68397d93bb6f627d,113,128,171211
005096,0x5536c7d9bd44d567,0x68397d93bb6f627d,115,128,171213
005096,0x5536c7d9bd44d567,0x68397d93bb6f627d,112,128,171210
005096,0xd43595e3819d3183,0xb01078c9275f9856,0,1,171212
005096,0xdd780d3990c1b00f,0x45893c12bb624cf0,0,1,171211
005096,0x728234db3d9a8f57,0x89cea460de3d895,0,1,171210
005096,0x28db662151d10a3,0xe3f0c0fbb0509c27,0,1,171213
005096,0x2d781de58a6079e7,0xe7d12636594460c0,115,128,171213
005096,0x2d781de58a6079e7,0xe7d12636594460c0,114,128,171212
005096,0x2d781de58a6079e7,0xe7d12636594460c0,113,128,171211
005096,0x2d781de58a6079e7,0xe7d12636594460c0,112,128,171210
005096,0xbc5df86d9475c13a,0x2c2dff1d22511abb,0,1,171211
005096,0xaeb1c86c72966aae,0x5242c6f15f5c1e0f,0,1,171212
005096,0xb1eab6216a7f0a2d,0x66ffbe89cee3a6b4,0,1,171213
005096,0xb94daf429ccacfa2,0xe83a2bd9984fd861,0,1,171210
005078,0x5536c7d9bd44d567,0x68397d93bb6f627d,71,128,289669
005078,0x5536c7d9bd44d567,0x68397d93bb6f627d,69,128,289666
005078,0x5536c7d9bd44d567,0x68397d93bb6f627d,70,128,289667
005078,0x5536c7d9bd44d567,0x68397d93bb6f627d,68,128,289665
005078,0xf4f7f081dd0777d7,0xd2626f6310c8235a,0,1,289665
005078,0x2fe8681ed72566ac,0x13d3482e8f4da1e3,0,1,289666
005078,0xf13a8130de07b5b2,0x315c85679d6d00c2,0,1,289667
005078,0xc17b423c2094c2e1,0xebb5b3abb5b6cc49,0,1,289669
005078,0x2d781de58a6079e7,0xe7d12636594460c0,71,128,289669
