nodeId,channelId,prevRank,myRank,nextRank,pid,commId
007029,7,61,3,2,201760,0x9bb79b7391685e09
007095,0,45,46,47,117960,0x9bb79b7391685e09
007095,1,47,46,49,117960,0x9bb79b7391685e09
007095,2,40,46,45,117960,0x9bb79b7391685e09
007095,3,47,46,44,117960,0x9bb79b7391685e09
007095,4,45,46,47,117960,0x9bb79b7391685e09
007095,5,47,46,49,117960,0x9bb79b7391685e09
007095,6,40,46,45,117960,0x9bb79b7391685e09
007095,7,47,46,44,117960,0x9bb79b7391685e09
007090,0,40,41,42,128143,0x9bb79b7391685e09
007090,1,38,41,40,128143,0x9bb79b7391685e09
007090,2,42,41,43,128143,0x9bb79b7391685e09
007090,3,40,41,47,128143,0x9bb79b7391685e09
007090,4,40,41,42,128143,0x9bb79b7391685e09
007090,5,38,41,40,128143,0x9bb79b7391685e09
007090,6,42,41,43,128143,0x9bb79b7391685e09
007090,7,40,41,47,128143,0x9bb79b7391685e09
007042,0,11,12,13,138209,0x9bb79b7391685e09
007042,1,13,12,15,138209,0x9bb79b7391685e09
007042,2,15,12,18,138209,0x9bb79b7391685e09
007042,3,14,12,13,138209,0x9bb79b7391685e09
007042,4,11,12,13,138209,0x9bb79b7391685e09
007042,5,13,12,15,138209,0x9bb79b7391685e09
007042,6,15,12,18,138209,0x9bb79b7391685e09
007042,7,14,12,13,138209,0x9bb79b7391685e09
007056,0,19,20,21,203355,0x9bb79b7391685e09
007056,1,21,20,23,203355,0x9bb79b7391685e09
007056,2,23,20,26,203355,0x9bb79b7391685e09
007056,3,22,20,21,203355,0x9bb79b7391685e09
007056,4,19,20,21,203355,0x9bb79b7391685e09
007056,5,21,20,23,203355,0x9bb79b7391685e09
007056,6,23,20,26,203355,0x9bb79b7391685e09
007056,7,22,20,21,203355,0x9bb79b7391685e09
007114,0,58,59,60,204334,0x9bb79b7391685e09
007114,1,56,59,58,204334,0x9bb79b7391685e09
007114,2,57,59,56,204334,0x9bb79b7391685e09
007114,3,53,59,58,204334,0x9bb79b7391685e09
007114,4,58,59,60,204334,0x9bb79b7391685e09
007114,5,56,59,58,204334,0x9bb79b7391685e09
007114,6,57,59,56,204334,0x9bb79b7391685e09
007114,7,53,59,58,204334,0x9bb79b7391685e09
