L_ns,L_us,runtime_ns,runtime_ms,runtime_s
420000.0,420.0,12129256939.400063,12129.256939400062,12.129256939400063
425000.0,425.0,12185466939.400063,12185.466939400063,12.185466939400063
430000.0,430.0,12241676939.400063,12241.676939400062,12.241676939400062
435000.0,435.0,12297886939.400063,12297.886939400063,12.297886939400062
440000.0,440.0,12354096939.400063,12354.096939400062,12.354096939400062
445000.0,445.0,12410306939.400063,12410.306939400063,12.410306939400062
450000.0,450.0,12466516939.400063,12466.516939400062,12.466516939400062
455000.0,455.0,12522726939.400063,12522.726939400063,12.522726939400062
460000.0,460.0,12578936939.400063,12578.936939400062,12.578936939400062
465000.0,465.0,12635146939.400063,12635.146939400063,12.635146939400062
470000.0,470.0,12691356939.400063,12691.356939400062,12.691356939400062
475000.0,475.0,12747566939.400063,12747.566939400063,12.747566939400063
480000.0,480.0,12803776939.400063,12803.776939400062,12.803776939400063
485000.0,485.0,12859986939.400063,12859.986939400063,12.859986939400063
490000.0,490.0,12916196939.400063,12916.196939400063,12.916196939400063
495000.0,495.0,12972406939.400063,12972.406939400062,12.972406939400063
500000.0,500.0,13028616939.400063,13028.616939400063,13.028616939400063
505000.0,505.0,13084826939.400063,13084.826939400062,13.084826939400063
510000.0,510.0,13141036939.400063,13141.036939400063,13.141036939400063
515000.0,515.0,13197246939.400063,13197.246939400062,13.197246939400063
520000.0,520.0,13253456939.400063,13253.456939400063,13.253456939400063
525000.0,525.0,13309666939.400063,13309.666939400062,13.309666939400062
530000.0,530.0,13365876939.400063,13365.876939400063,13.365876939400062
535000.0,535.0,13422086939.400063,13422.086939400062,13.422086939400062
540000.0,540.0,13478296939.400063,13478.296939400063,13.478296939400062
545000.0,545.0,13534506939.400063,13534.506939400062,13.534506939400062
550000.0,550.0,13590716939.400063,13590.716939400063,13.590716939400062
555000.0,555.0,13646926939.400063,13646.926939400062,13.646926939400062
560000.0,560.0,13703136939.400063,13703.136939400063,13.703136939400062
565000.0,565.0,13759346939.400063,13759.346939400062,13.759346939400062
570000.0,570.0,13815556939.400063,13815.556939400063,13.815556939400063
575000.0,575.0,13871766939.400063,13871.766939400062,13.871766939400063
580000.0,580.0,13927976939.400063,13927.976939400063,13.927976939400063
585000.0,585.0,13984186939.400063,13984.186939400062,13.984186939400063
590000.0,590.0,14040396939.400063,14040.396939400063,14.040396939400063
595000.0,595.0,14096606939.400063,14096.606939400062,14.096606939400063
600000.0,600.0,14152816939.400063,14152.816939400063,14.152816939400063
605000.0,605.0,14209026939.400063,14209.026939400062,14.209026939400063
610000.0,610.0,14265236939.400063,14265.236939400063,14.265236939400063
615000.0,615.0,14321446939.400063,14321.446939400063,14.321446939400063
620000.0,620.0,14377656939.400063,14377.656939400062,14.377656939400062
625000.0,625.0,14433866939.400063,14433.866939400063,14.433866939400062
630000.0,630.0,14490076939.400063,14490.076939400062,14.490076939400062
635000.0,635.0,14546286939.400063,14546.286939400063,14.546286939400062
640000.0,640.0,14602496939.400063,14602.496939400062,14.602496939400062
645000.0,645.0,14658706939.400063,14658.706939400063,14.658706939400062
650000.0,650.0,14714916939.400063,14714.916939400062,14.714916939400062
655000.0,655.0,14771126939.400063,14771.126939400063,14.771126939400062
660000.0,660.0,14827336939.400063,14827.336939400062,14.827336939400062
